id,actdate,owner
1704bae1-518f-5c56-3ac0-188a17a69390,2017-06-18,"{'email': 'saxes1970@yandex.com', 'address': {'residencecity': 'Newport News', 'residencecountry': 'Chile'}, 'creator': 'Eugene Knapp', 'modifier': 'Sang Cox'}"
1d3cb579-69c3-c679-81b2-0f5a6582f256,2018-05-15,"{'email': 'invected1996@gmail.com', 'address': {'residencecity': 'Fullerton', 'residencecountry': 'Aruba'}, 'creator': 'Lindsey Fields', 'modifier': 'Linwood Ramos'}"
b5ede068-947c-c4b1-cab7-5d923492da1e,2017-09-13,"{'email': 'eldreth1897@gmail.com', 'address': {'residencecity': 'Glenview', 'residencecountry': 'Seychelles'}, 'creator': 'Alfonso Mcintyre', 'modifier': 'Melany Garner'}"
228dc0ac-fb26-ba7e-ea96-6228fc649f06,2018-04-07,"{'email': 'andira1818@yahoo.com', 'address': {'residencecity': 'Mountain Brook', 'residencecountry': 'Ascension Island'}, 'creator': 'Roger Woodward', 'modifier': 'Tona David'}"
6cdb9407-08cb-fd62-d8f8-ca23b78255ab,2017-11-09,"{'email': 'amorphia1829@live.com', 'address': {'residencecity': 'Madera', 'residencecountry': 'San Marino'}, 'creator': 'Minna Mcdowell', 'modifier': 'Nelia Graham'}"
8e3ba992-b5ce-98ed-b0d5-493336a3352e,2017-05-31,"{'email': 'monkey1976@outlook.com', 'address': {'residencecity': 'Murfreesboro', 'residencecountry': 'Jersey'}, 'creator': 'Stephane Bailey', 'modifier': 'Wilfred Juarez'}"
671ac1b2-23a4-7824-c63a-4c26fd4e1649,2018-04-13,"{'email': 'walspere1851@yahoo.com', 'address': {'residencecity': 'Van Buren', 'residencecountry': 'Singapore'}, 'creator': 'Thu Stone', 'modifier': 'Mitchel Daniel'}"
61b36f9d-4656-683f-ac21-ab5e7f84472c,2018-08-29,"{'email': 'darkens1849@outlook.com', 'address': {'residencecity': 'Prescott Valley', 'residencecountry': 'Côte d’Ivoire'}, 'creator': 'Devin Combs', 'modifier': 'Erich Scott'}"
9b4f5ea0-e660-cb9d-03c4-35f0c1da242d,2017-02-19,"{'email': 'matutinary1834@yahoo.com', 'address': {'residencecity': 'Kalamazoo', 'residencecountry': 'Iran'}, 'creator': 'Jonie Buchanan', 'modifier': 'Shanti Bennett'}"
a83ef0a5-f422-16ef-2b1a-225d77644647,2017-02-01,"{'email': 'kolhoz2052@outlook.com', 'address': {'residencecity': 'Lake in the Hills', 'residencecountry': 'Western Sahara'}, 'creator': 'Terence Massey', 'modifier': 'Celena Phelps'}"
1d235419-6c55-5d85-ec82-9969f841246a,2018-03-11,"{'email': 'clarified1914@gmail.com', 'address': {'residencecity': 'Adelanto', 'residencecountry': 'Monaco'}, 'creator': 'Kurt Irwin', 'modifier': 'Ramiro Horn'}"
7480d271-4547-513a-432f-bafb273cf3a0,2017-04-26,"{'email': 'cellmate2019@gmail.com', 'address': {'residencecity': 'Buena Park', 'residencecountry': 'Falkland Islands'}, 'creator': 'Meggan Mercado', 'modifier': 'Stevie Bullock'}"
53b83734-3a67-ea88-554d-0e5cc252e946,2017-06-17,"{'email': 'plasmoid1980@live.com', 'address': {'residencecity': 'Evanston', 'residencecountry': 'Kuwait'}, 'creator': 'Waneta Huber', 'modifier': 'Marcel York'}"
8d0f0738-eafc-9e0c-98ad-fd3d95359351,2018-07-28,"{'email': 'saarbrucken1849@gmail.com', 'address': {'residencecity': 'Chillicothe', 'residencecountry': 'Afghanistan'}, 'creator': 'Jose Malone', 'modifier': 'Jina Glass'}"
a7d03207-a6c9-0ac7-60ef-10d07b98f0ec,2018-08-19,"{'email': 'sidebones1868@outlook.com', 'address': {'residencecity': 'Asbury Park', 'residencecountry': 'Romania'}, 'creator': 'Soraya Bass', 'modifier': 'Andrew Miller'}"
476040df-4d06-8a42-7d84-98a864cc59cb,2017-08-06,"{'email': 'bigots1846@live.com', 'address': {'residencecity': 'New Albany', 'residencecountry': 'U.S. Outlying Islands'}, 'creator': 'Versie Day', 'modifier': 'Maia Richmond'}"
1b7da464-8f5a-fc3a-3756-bab184a40cb3,2018-09-10,"{'email': 'seginus1896@live.com', 'address': {'residencecity': 'Wadsworth', 'residencecountry': 'Eritrea'}, 'creator': 'Nida Joyner', 'modifier': 'Sherilyn Luna'}"
e8f8dd25-09fe-0956-c9bd-5123f988e0a8,2017-09-21,"{'email': 'ascanius1892@yandex.com', 'address': {'residencecity': 'Stow', 'residencecountry': 'United Kingdom'}, 'creator': 'Annett Kim', 'modifier': 'Shaunte Hutchinson'}"
be6867a0-61ce-44c7-a03a-ced29195cd98,2018-01-20,"{'email': 'puma2042@outlook.com', 'address': {'residencecity': 'San Francisco', 'residencecountry': 'Martinique'}, 'creator': 'Cherish Cantrell', 'modifier': 'Wen Torres'}"
3322649f-afd2-b5e6-23a0-53a1c28c6e4d,2018-05-07,"{'email': 'pirogue1856@live.com', 'address': {'residencecity': 'Hinesville', 'residencecountry': 'Ceuta & Melilla'}, 'creator': 'Deonna Finch', 'modifier': 'Charmain Berger'}"
